AreaSite,Latitude,Longitude,,,,,,,
C1,34.69417300000000,-76.67660800000000,,,,,,,
C100A,35.10307500000000,-77.03494400000000,,,,,,,
C10,34.64828900000000,-77.09567000000000,,,,,,,
C102,35.04261300000000,-76.98855600000000,,,,,,,
C100,35.09877500000000,-77.02001400000000,,,,,,,
C102A,35.08535700000000,-77.02549600000000,,,,,,,
C101,35.09683900000000,-77.04723300000000,,,,,,,
C104,34.98458100000000,-76.94728500000000,,,,,,,
C105,34.97250600000000,-76.88101000000000,,,,,,,
C105B,34.95276400000000,-76.89564400000000,,,,,,,
C105A,34.94650200000000,-76.90361900000000,,,,,,,
C103,35.00138400000000,-76.97542900000000,,,,,,,
C106A,34.91765400000000,-76.85336400000000,,,,,,,
C107,34.94159700000000,-76.82645300000000,,,,,,,
C106,34.92071900000000,-76.85162100000000,,,,,,,
C10A,34.65419600000000,-77.06031500000000,,,,,,,
C109,34.90632600000000,-76.76250500000000,,,,,,,
C108,34.93009100000000,-76.79111600000000,,,,,,,
C10B,34.64475900000000,-77.08942300000000,,,,,,,
C11,34.57013700000000,-77.27011900000000,,,,,,,
C111,35.53510600000000,-77.05028200000000,,,,,,,
C110,34.95798000000000,-76.69965700000000,,,,,,,
C110A,34.93013500000000,-76.79142500000000,,,,,,,
C112A,35.51387800000000,-77.00994500000000,,,,,,,
C111A,35.53559200000000,-77.04134100000000,,,,,,,
C112,35.48017100000000,-76.98072500000000,,,,,,,
C113,35.48435600000000,-76.95365100000000,,,,,,,
C114,35.18037400000000,-76.66325800000000,,,,,,,
C115A,35.45970000000000,-76.90123100000000,,,,,,,
C115,35.45235100000000,-76.85378600000000,,,,,,,
C117A,35.43516200000000,-76.90837600000000,,,,,,,
C118,35.44854300000000,-76.92409300000000,,,,,,,
C116,35.42541500000000,-76.84390800000000,,,,,,,
C117,35.43267500000000,-76.89156300000000,,,,,,,
C119A,35.44136000000000,-76.94900000000000,,,,,,,
C120,35.47313100000000,-76.98310200000000,,,,,,,
